Round 10 Details
================================================================================

Best model: gland_PCA20_a1
Description: gland emb PCA(20) + Ridge(a=1)
LOO Pearson r: 0.6571
IS Pearson r: 0.9466
Gap: 0.2895
Adjusted: 0.5874

Best per category:
  Gland Embedding: gland_PCA20_a1 adj=0.5874 LOO_r=0.6571 gap=0.2895
  Tumor Cell Embedding: tumor_PCA3_a1 adj=0.1153 LOO_r=0.1665 gap=0.2524
  Combined Embedding: combined_PCA5_a1 adj=0.2029 LOO_r=0.2639 gap=0.2720
  Blend: blend_g0.7_gland_PCA20_a1_c0.3_combined_PCA5_a20 adj=0.5667 LOO_r=0.6387 gap=0.2939
  ElasticNet: gland_EN_PCA20_a0.01_l10.5 adj=0.5854 LOO_r=0.6558 gap=0.2907

All configurations (sorted by adjusted):
  combined_PCA15_a20: adj=-1.0000 LOO_r=0.4844 IS_r=0.8533 gap=0.3689 F1=0.4747 QWK=0.3571
  combined_PCA15_a50: adj=-1.0000 LOO_r=0.4825 IS_r=0.8529 gap=0.3704 F1=0.4747 QWK=0.3571
  combined_PCA15_a100: adj=-1.0000 LOO_r=0.4794 IS_r=0.8522 gap=0.3728 F1=0.4747 QWK=0.3571
  combined_PCA15_a200: adj=-1.0000 LOO_r=0.4733 IS_r=0.8502 gap=0.3769 F1=0.4747 QWK=0.3571
  combined_PCA20_a1: adj=-1.0000 LOO_r=0.4175 IS_r=0.9229 gap=0.5054 F1=0.4222 QWK=0.3333
  combined_PCA20_a5: adj=-1.0000 LOO_r=0.4181 IS_r=0.9228 gap=0.5047 F1=0.4222 QWK=0.3333
  combined_PCA20_a10: adj=-1.0000 LOO_r=0.4188 IS_r=0.9227 gap=0.5039 F1=0.4222 QWK=0.3333
  combined_PCA20_a20: adj=-1.0000 LOO_r=0.4202 IS_r=0.9225 gap=0.5022 F1=0.4222 QWK=0.3333
  combined_PCA20_a50: adj=-1.0000 LOO_r=0.4240 IS_r=0.9215 gap=0.4976 F1=0.4222 QWK=0.3333
  combined_PCA20_a100: adj=-1.0000 LOO_r=0.4289 IS_r=0.9195 gap=0.4906 F1=0.4222 QWK=0.3333
  combined_PCA20_a200: adj=-1.0000 LOO_r=0.4355 IS_r=0.9149 gap=0.4794 F1=0.3791 QWK=0.2759
  blend_g0.3_gland_PCA20_a1_c0.7_combined_PCA5_a1: adj=-1.0000 LOO_r=0.5008 IS_r=0.8048 gap=0.3040 F1=0.3519 QWK=0.2609
  blend_g0.4_gland_PCA20_a1_c0.6_combined_PCA5_a1: adj=-1.0000 LOO_r=0.5546 IS_r=0.8569 gap=0.3023 F1=0.4074 QWK=0.3333
  blend_g0.3_gland_PCA20_a1_c0.7_combined_PCA5_a10: adj=-1.0000 LOO_r=0.5009 IS_r=0.8049 gap=0.3040 F1=0.3519 QWK=0.2609
  blend_g0.4_gland_PCA20_a1_c0.6_combined_PCA5_a10: adj=-1.0000 LOO_r=0.5547 IS_r=0.8570 gap=0.3023 F1=0.4074 QWK=0.3333
  blend_g0.3_gland_PCA20_a1_c0.7_combined_PCA5_a20: adj=-1.0000 LOO_r=0.5012 IS_r=0.8051 gap=0.3039 F1=0.3519 QWK=0.2609
  blend_g0.4_gland_PCA20_a1_c0.6_combined_PCA5_a20: adj=-1.0000 LOO_r=0.5550 IS_r=0.8572 gap=0.3022 F1=0.4074 QWK=0.3333
  gland_EN_PCA8_a0.01_l10.5: adj=-1.0000 LOO_r=0.3215 IS_r=0.7087 gap=0.3872 F1=0.3519 QWK=0.2609
  gland_EN_PCA8_a0.05_l10.5: adj=-1.0000 LOO_r=0.3217 IS_r=0.7097 gap=0.3880 F1=0.3519 QWK=0.2609
